,title,date,content
57,"펄어비스 도깨비, 엔씨소프트 블소2 주가 상승과 하락.",5일 전,오늘 펄어비스의 도깨비를 보니 같은 그래픽으로 '포켓몬'을 만들면 역대 게임 최다 판매량을 찍지 싶은데 능력이 없으면 '펄어비스'에 외주 어떤신지. 한국의 '리니지'나 일본의 '포켓몬'이나 열혈한 팬들이 무한한 지지를...
58,와 아직 k게임 안죽었네요.,5일 전,출시하는 붉은사막도 기대작이였는데 도깨비도 기대할만한거 같습니다. 플랫폼도 콘솔로도 출시한다고 하니깐 나오면 무조건 구매각!!! DOKEV(도깨비) 발표후에 펄어비스 주가 급등했다던데...펄어비스 주식을 샀어야햇어.....
59,"펄어비스의 ""도깨비"" 게임플레이 트레일러 공개! 시네마틱 뺨치는 인게임 그래픽?",5일 전,"펄 어비스의 ""도깨비"" 게임플레이 트레일러가 공개되었습니다. ""도깨비는 독특한 세계관, 모두가 공감할 수 있는 이야기를 담은 도깨비 수집 오픈월드 액션 어드벤처입니다. 사람들의 꿈에서 힘을 얻고 성장하는..."
60,메타버스 게임 도깨비 출시 예정... 펄어비스 전망,4일 전,펄어비스의 도깨비(dokeV)는 ‘게임스컴 2021’*에서 실제 플레이 장면을 뮤직비디오 형태로 만든 트레일러가 공개되면서 많은 이들의 호평을 받았습니다. 여러 유튜브 채널에서 관련 컨텐츠들을 다루고 있으며 해외 게임...
61,펄어비스 신작 도깨비 플레이 영상입니다.,5일 전,"모션도 공격 모션뿐아니라 gta처럼 상호작용, 탈것 모션등 다양하게 있네요 그리고 생각보다 한국적인 요소들이 그래픽으로 가미되서 재밌어보입니다 ㅎㅎ"
62,펄어비스 도깨비 출시일 및 신규 트레일러 정보,4일 전,펄어비스의 도깨비는 수집형RPG게임이라고하는데 정말 다양한 이동 수단이 등장을 합니다. 하나하나 움직임이 생동감 있고 속도감도 있어서 사실 레이싱게임이 아닌가 싶을 정도로 이동 수단들이 매력적으로 보였습니다....
63,"펄어비스 도깨비(Dokev) 신작 공개 요동치는 펄어비스 주가, 나락가는 엔씨소프트 주가 / 도깨비 OST 락스타",5일 전,"그것은 바로 검은사막으로 유명한 펄어비스의 신규 게임 도깨비(DOKEV)인데요. 일반적으로 우리가 알고있는 도깨비 드라마가 아니라, 메타버스 수집형 오픈월드 게임으로 새로운 IP를 가진 게임이 공개되었습니다. 우선..."
64,도깨비와 클레이튼(feat 펄어비스),6시간 전,위에서 돌릴 가능성 매우 높음 마지막으로 클레이튼과 관련해서 카카오의 큰 그림을 신빙성있는 뇌피셜로 풀어 주는 영상을 첨부하겠습니다. https://youtu.be/xMrdgjF92tA #도깨비 #펄어비스 #클레이튼 #카카오
65,도깨비라는 게임,5일 전,좀전에 집마님 유튜브로 도깨비 트레일러 봤는데 와.... 캐릭터 진짜 귀엽고 한국적인 느낌을 정말 잘 살린 것 같아요. 수집형 오픈월드라는데 콘솔이랑 PC로 나온다고 하니... 콘솔은 왠지 플스로 나올 것 같은 느낌....;;;...
66,이번에 펄어비스 도깨비 진짜 기대되네요,5일 전,상당히 기대되네요. 영상미며 디자인이며 정말 잘 뽑힌듯
